,User ID,Date,Language,Text
23,1569074274979430401,2022-09-11 21:23:53+00:00,en,I know most people probs think I’m a broke bitch to be blowing money on weed but it’s fine guys cause I just don’t buy food to offset the cost💁🏻‍♀️😅
24,1569073833914810368,2022-09-11 21:22:08+00:00,en,Thinking about the fat joint that Ima smoke when I start smoking weed again. ☺️
25,1569073600417746945,2022-09-11 21:21:12+00:00,en,Had a dream that me and @kathbarbadoro we’re recording in a mobile recording studio and we got pulled over and the cops found a weed pipe in the car and then I made myself wake up and got the fuck outta there. Not sure if dream Kath got popped for it
26,1569073323304427521,2022-09-11 21:20:06+00:00,en,"@bougiegoblin We need to have a vegetable feast (starting with the most important vegetable, weed)"
27,1569073220107784192,2022-09-11 21:19:42+00:00,en,@eddings311 Anything can be an addiction. It all boils down to discipline. I smoke weed but I don’t spend money on it to where it cuts into my expenses.
28,1569073116319731712,2022-09-11 21:19:17+00:00,en,@nxyleaa Ur beautiful 😍.....is that brown weed in ur jar.....u need some of that CA weed
29,1569072917543276544,2022-09-11 21:18:30+00:00,en,"Blunt man and chronic, both love weed and fighting haters. Nothing makes them happier then to plaster a kids face with a permanent smile. @ThatKevinSmith has the best fan base https://t.co/PCDorE1w17"
30,1569072448511045632,2022-09-11 21:16:38+00:00,en,"RT @CAL_FIRE: #MillFire off Woodridge Court and Woodridge Way, near the City of Weed in Siskiyou County is at 3,935 acres and is 90% contai…"
31,1569072430848655365,2022-09-11 21:16:34+00:00,en,"I roll my weed, not in my sorrows.🖤"
32,1569072383704662018,2022-09-11 21:16:22+00:00,en,I have got on the wagon and fell off it isnt easy but I continually come back to the place where alcohol and cannabis can be incredibly fun when enjoyed in responsible moderation I cannot sustain a life where I drink and get high everyday. my truth that I just wanted to share. https://t.co/A9Fi95y0dH
33,1569071938571583488,2022-09-11 21:14:36+00:00,en,Have been feeling really magical and the tipping point moment has definitely been my work to cut back on my alcohol and cannabis use to where I only indulge on Friday and Saturday unless it is a holiday where I don't have to work the next day. 🧵
34,1569071463277408257,2022-09-11 21:12:43+00:00,en,"@ethnobot @edrybicki Apparently in Arizona we can now grow it outdoors. 

https://t.co/bzslCnZarl"
35,1569071321258274816,2022-09-11 21:12:09+00:00,en,"RT @danfranzzz: Intimidating scenes from the #MountainFire west of Weed, CA. Fire currently over 6,000 with 5% containment https://t.co/qRz…"
36,1569070360360013825,2022-09-11 21:08:20+00:00,en,Cannabis cookies 🍪🍃 https://t.co/Z7l99HWEEh
37,1569070197046231040,2022-09-11 21:07:41+00:00,en,"@3rdnJuan Nah, just separates the rational fans that have a clue about the game of football and the ball watchers who sound just plain silly right now. Perfect way to weed out the follows...."
38,1569069882951569409,2022-09-11 21:06:26+00:00,en,weed
39,1569069286391513088,2022-09-11 21:04:04+00:00,en,MY BROTHER FRIEND CAME  TO SELL ME WEED ! In the process delivered Sausage ! 🔥🔥😳😳😳 LINK IN BIO ‼️ https://t.co/nyvv9QlVpZ
40,1569066555606204416,2022-09-11 20:53:13+00:00,en,@democracyfan4 cons voted no to legalizing cannabis. Trudeau is doing great - far better than ANY previous con gov't and certainly better than any current provincial ones. https://t.co/JojBd7qxkH
41,1569066089245741057,2022-09-11 20:51:22+00:00,en,"RT @CAL_FIRE: #MillFire off Woodridge Court and Woodridge Way, near the City of Weed in Siskiyou County is at 3,935 acres and is 90% contai…"
42,1569065598117888001,2022-09-11 20:49:25+00:00,en,Have you heard of Grassdoor? They're the most reliable weed delivery service in CA. Use my link to get 30% off your first order https://t.co/kxMllEpbEP
43,1569065281389051904,2022-09-11 20:48:09+00:00,en,FOMIYES 2pcs Steel Brush Cutter Trimmer Head Replacements Weed Eater Blades Lawn Mower Edger Blade Weed Eater Brush Cutter Tool via @amazon @amazonca #Amazon🇨🇦 https://t.co/LnYhEcmXaN
44,1569065188250492928,2022-09-11 20:47:47+00:00,en,"Yard mowed, weed whacked, edged, beer run, all just in time to catch the opening drive Cousins to Jefferson special. #Skol baby!!!! https://t.co/6E4jf5daox"
45,1569064711471386624,2022-09-11 20:45:53+00:00,en,"RT @ARCGoldCountry: The #MillFire Local Assistance Center is open today and tomorrow, 10AM-6PM, at the Weed Community Center. The @RedCross…"
46,1569063841778274304,2022-09-11 20:42:26+00:00,en,There’s not enough weed in the world to take the edge off of that game
47,1569063337345880064,2022-09-11 20:40:26+00:00,en,@KingslandBid2 @NYCMayor @NYPD94Pct @JenGutierrezNYC First of all only thing I'm transporting is medicaid patients to they appointments and yes when I'm smoking weed I see all types of illegal shit but you know what as long as they don't fuck with me my family or the kids from the projects I mind my business
48,1569062210650923011,2022-09-11 20:35:57+00:00,en,"Don’t invite me to no hookah lounge, bitch I smoke weed"
49,1569061460134748160,2022-09-11 20:32:58+00:00,en,"@latimes I talked to a young woman a few years ago who was in the cannabis industry in CA, and she said all the fees and restrictions have left the industry more centralized than it was before ""legalization"". She wanted deregulation."
50,1569061088117010432,2022-09-11 20:31:29+00:00,en,It’s funny walking down the street and getting a waft of pot smoke every now &amp; then. Part of being in a legal recreational marijuana use state 😂
51,1569060481272524801,2022-09-11 20:29:05+00:00,en,"Historians will use Venice Beach CA as the perfect example of radicalized Cult of Democrat Hate ruining a beach city w/ mentally ill &amp; homeless tent plague, crime skyrocketing, &amp; weed &amp; crack everywhere.

@SpeakerPelosi 
@GavinNewsom 
@ericgarcetti 
@LindseyPHorvath 
@LASDHQ
@THR https://t.co/m3jutqnDVG"
52,1569060331569422336,2022-09-11 20:28:29+00:00,en,"weed gay
nice gay 
outdoors gay"
