"","Order","State","Small..Area.Estimate","rate_lower","rate_upper","Map.Group"
"289",289,"New York","3.10%",2.41,3.98,5
"287",287,"New York","3.23%",2.4,4.34,5
"13",13,"Alaska","3.22%",2.4,4.31,4
"273",273,"New Mexico","3.22%",2.4,4.31,4
"101",101,"Florida","3.18%",2.4,4.18,4
"164",164,"Louisiana","2.93%",2.4,3.56,3
"308",308,"North Carolina","3.27%",2.39,4.47,4
"59",59,"Colorado","3.20%",2.39,4.28,4
"255",255,"New Hampshire","2.92%",2.39,3.55,3
"40",40,"California","3.08%",2.38,3.98,4
"34",34,"California","3.07%",2.38,3.94,4
"53",53,"California","3.00%",2.38,3.79,4
"199",199,"Michigan","2.71%",2.38,3.07,3
"302",302,"North Carolina","3.22%",2.37,4.38,4
"450",450,"Wisconsin","3.22%",2.37,4.38,4
"114",114,"Georgia","3.20%",2.37,4.32,4
"417",417,"Utah","3.12%",2.37,4.1,4
"168",168,"Louisiana","3.10%",2.37,4.06,4
"66",66,"Connecticut","3.11%",2.37,4.05,4
"166",166,"Louisiana","3.23%",2.36,4.41,4
"18",18,"Arizona","3.19%",2.36,4.3,4
"179",179,"Maine","3.18%",2.36,4.26,4
"135",135,"Indiana","3.09%",2.36,4.05,4
"276",276,"New York","3.07%",2.36,3.98,5
"65",65,"Connecticut","3.15%",2.35,4.21,4
"262",262,"New Hampshire","3.05%",2.35,3.94,5
"192",192,"Massachusetts","2.86%",2.35,3.47,3
"182",182,"Maryland","2.85%",2.35,3.46,3
"111",111,"Georgia","3.06%",2.34,4,4
"433",433,"Washington","3.23%",2.33,4.46,5
"260",260,"New Hampshire","2.91%",2.33,3.63,4
"51",51,"California","2.90%",2.32,3.62,4
"430",430,"Washington","2.80%",2.32,3.39,3
"79",79,"District of Columbia","3.24%",2.31,4.54,4
"136",136,"Indiana","3.11%",2.31,4.18,4
"189",189,"Maryland","3.10%",2.31,4.14,4
"332",332,"Ohio","3.07%",2.31,4.07,4
"42",42,"California","3.06%",2.31,4.06,4
"64",64,"Connecticut","2.81%",2.31,3.42,3
"27",27,"Arkansas","3.23%",2.3,4.51,4
"299",299,"North Carolina","3.18%",2.3,4.38,4
"313",313,"North Dakota","3.17%",2.3,4.36,4
"31",31,"California","3.06%",2.3,4.06,4
"288",288,"New York","2.98%",2.3,3.84,5
"165",165,"Louisiana","2.97%",2.3,3.83,5
"86",86,"Florida","2.76%",2.3,3.3,5
"293",293,"New York","3.03%",2.29,4,5
"32",32,"California","3.00%",2.29,3.92,4
"442",442,"West Virginia","2.80%",2.29,3.41,3
"180",180,"Maine","3.06%",2.28,4.11,4
"110",110,"Georgia","3.06%",2.28,4.1,4
"61",61,"Colorado","3.05%",2.28,4.07,4
"256",256,"New Hampshire","2.90%",2.28,3.69,4
"447",447,"West Virginia","3.05%",2.27,4.07,4
"286",286,"New York","2.96%",2.27,3.85,5
"412",412,"Utah","2.76%",2.27,3.35,3
"280",280,"New York","2.71%",2.27,3.24,4
"84",84,"Florida","2.56%",2.27,2.89,3
"370",370,"Rhode Island","3.09%",2.26,4.23,4
"421",421,"Vermont","3.01%",2.26,4.01,4
"335",335,"Ohio","2.99%",2.25,3.95,4
"49",49,"California","2.97%",2.25,3.9,4
"87",87,"Florida","2.83%",2.25,3.56,4
"95",95,"Florida","2.66%",2.25,3.13,5
"257",257,"New Hampshire","2.97%",2.24,3.91,5
"321",321,"Ohio","2.97%",2.23,3.93,4
"209",209,"Michigan","2.91%",2.23,3.78,4
"431",431,"Washington","2.85%",2.23,3.65,4
"434",434,"Washington","2.80%",2.23,3.53,4
"373",373,"South Carolina","2.73%",2.23,3.33,3
"197",197,"Massachusetts","3.01%",2.22,4.08,4
"292",292,"New York","3.01%",2.22,4.06,5
"259",259,"New Hampshire","2.98%",2.22,4,4
"436",436,"Washington","2.94%",2.22,3.89,5
"283",283,"New York","2.92%",2.22,3.83,5
"38",38,"California","2.88%",2.22,3.73,4
"301",301,"North Carolina","3.08%",2.21,4.29,4
"372",372,"Rhode Island","3.04%",2.21,4.16,4
"429",429,"Virginia","2.95%",2.21,3.92,4
"96",96,"Florida","2.90%",2.21,3.79,4
"437",437,"Washington","2.77%",2.21,3.46,4
"303",303,"North Carolina","3.05%",2.2,4.2,4
"219",219,"Mississippi","3.03%",2.2,4.15,4
"45",45,"California","2.90%",2.2,3.82,4
"325",325,"Ohio","2.88%",2.2,3.77,4
"48",48,"California","2.80%",2.2,3.58,4
"172",172,"Maine","2.68%",2.2,3.26,3
"113",113,"Georgia","2.95%",2.19,3.97,4
"43",43,"California","2.80%",2.19,3.57,4
"131",131,"Illinois","2.79%",2.19,3.54,4
"205",205,"Michigan","2.78%",2.19,3.51,4
"21",21,"Arkansas","2.67%",2.19,3.26,3
"81",81,"District of Columbia","3.07%",2.18,4.31,4
"112",112,"Georgia","2.99%",2.18,4.09,4
"217",217,"Mississippi","2.67%",2.18,3.27,3
"62",62,"Colorado","3.00%",2.17,4.14,4
"177",177,"Maine","2.89%",2.17,3.84,4
"446",446,"West Virginia","2.86%",2.17,3.75,4
"90",90,"Florida","2.82%",2.17,3.67,4
"204",204,"Michigan","2.70%",2.17,3.34,4
"89",89,"Florida","2.54%",2.17,2.97,5
"170",170,"Louisiana","2.91%",2.16,3.9,4
"360",360,"Pennsylvania","2.67%",2.16,3.29,4
"78",78,"District of Columbia","2.94%",2.15,4.01,4
"14",14,"Alaska","2.85%",2.15,3.77,4
"35",35,"California","2.95%",2.14,4.06,4
"369",369,"Rhode Island","2.92%",2.14,3.96,4
"254",254,"Nevada","2.86%",2.14,3.81,4
"57",57,"California","2.84%",2.14,3.76,4
"291",291,"New York","2.83%",2.14,3.74,5
"249",249,"Nevada","2.66%",2.14,3.3,3
"129",129,"Illinois","2.58%",2.14,3.11,4
"297",297,"North Carolina","2.95%",2.13,4.07,4
"221",221,"Mississippi","2.90%",2.13,3.92,4
"272",272,"New Mexico","2.89%",2.13,3.9,4
"198",198,"Massachusetts","2.86%",2.13,3.83,4
"353",353,"Oregon","2.97%",2.12,4.14,4
"298",298,"North Carolina","2.87%",2.12,3.89,4
"269",269,"New Mexico","2.86%",2.12,3.84,4
"349",349,"Oregon","2.81%",2.12,3.72,4
"285",285,"New York","2.81%",2.12,3.7,5
"356",356,"Pennsylvania","2.79%",2.12,3.65,4
"37",37,"California","2.76%",2.12,3.59,4
"333",333,"Ohio","2.74%",2.12,3.54,4
"281",281,"New York","2.68%",2.12,3.38,5
"128",128,"Illinois","2.42%",2.12,2.75,3
"215",215,"Minnesota","2.97%",2.1,4.19,4
"458",458,"Wyoming","2.91%",2.1,4.02,4
"296",296,"North Carolina","2.85%",2.1,3.86,4
"194",194,"Massachusetts","2.84%",2.1,3.83,4
"258",258,"New Hampshire","2.83%",2.1,3.81,5
"375",375,"South Carolina","2.79%",2.1,3.69,4
"93",93,"Florida","2.67%",2.1,3.4,4
"157",157,"Kentucky","2.56%",2.1,3.12,3
"26",26,"Arkansas","2.81%",2.09,3.77,4
"106",106,"Florida","2.69%",2.09,3.48,4
"424",424,"Virginia","2.53%",2.09,3.06,3
"441",441,"Washington","2.89%",2.08,4.02,5
"439",439,"Washington","2.82%",2.08,3.81,5
"423",423,"Vermont","2.81%",2.08,3.79,4
"362",362,"Pennsylvania","2.78%",2.08,3.71,4
"377",377,"South Carolina","2.75%",2.08,3.64,4
"416",416,"Utah","2.72%",2.08,3.55,4
"250",250,"Nevada","2.67%",2.08,3.42,4
"20",20,"Arizona","2.82%",2.07,3.83,4
"185",185,"Maryland","2.81%",2.07,3.8,4
"29",29,"Arkansas","2.79%",2.07,3.76,4
"248",248,"Nebraska","2.66%",2.07,3.42,4
"203",203,"Michigan","2.64%",2.07,3.37,4
"326",326,"Ohio","2.63%",2.07,3.35,4
"105",105,"Florida","2.56%",2.07,3.16,5
"438",438,"Washington","2.88%",2.06,4.01,5
"28",28,"Arkansas","2.85%",2.06,3.93,4
"138",138,"Indiana","2.78%",2.06,3.74,4
"139",139,"Indiana","2.77%",2.06,3.73,4
"435",435,"Washington","2.73%",2.06,3.61,5
"336",336,"Ohio","2.69%",2.06,3.51,4
"171",171,"Louisiana","2.77%",2.05,3.75,4
"226",226,"Missouri","2.74%",2.05,3.65,4
"159",159,"Kentucky","2.70%",2.05,3.54,4
"261",261,"New Hampshire","2.69%",2.05,3.54,5
"366",366,"Pennsylvania","2.69%",2.05,3.52,4
"88",88,"Florida","2.65%",2.05,3.43,4
"50",50,"California","2.64%",2.05,3.39,4
"449",449,"Wisconsin","2.52%",2.05,3.09,3
"448",448,"West Virginia","2.80%",2.04,3.82,4
"374",374,"South Carolina","2.69%",2.04,3.53,4
"6",6,"Alabama","2.53%",2.04,3.12,3
"241",241,"Nebraska","2.48%",2.04,3.02,3
"415",415,"Utah","2.76%",2.03,3.73,4
"173",173,"Maine","2.67%",2.03,3.5,5
"117",117,"Hawaii","2.66%",2.03,3.46,4
"282",282,"New York","2.64%",2.03,3.42,5
"47",47,"California","2.61%",2.03,3.35,4
"191",191,"Maryland","2.76%",2.02,3.75,4
"163",163,"Kentucky","2.70%",2.02,3.59,4
"68",68,"Connecticut","2.68%",2.02,3.56,4
"98",98,"Florida","2.60%",2.02,3.34,4
"85",85,"Florida","2.58%",2.02,3.31,4
"225",225,"Missouri","2.47%",2.02,3.02,3
"190",190,"Maryland","2.76%",2.01,3.78,4
"422",422,"Vermont","2.73%",2.01,3.69,4
"103",103,"Florida","2.72%",2.01,3.66,4
"428",428,"Virginia","2.71%",2.01,3.64,4
"318",318,"Ohio","2.69%",2.01,3.59,4
"200",200,"Michigan","2.68%",2.01,3.56,4
"309",309,"North Dakota","2.45%",2.01,2.99,3
"328",328,"Ohio","2.61%",2,3.4,4
"115",115,"Hawaii","2.54%",2,3.21,3
"24",24,"Arkansas","2.71%",1.99,3.69,4
"427",427,"Virginia","2.68%",1.99,3.6,4
"267",267,"New Jersey","2.63%",1.99,3.46,4
"124",124,"Idaho","2.60%",1.99,3.39,4
"365",365,"Pennsylvania","2.60%",1.99,3.39,4
"167",167,"Louisiana","2.71%",1.98,3.69,4
"351",351,"Oregon","2.70%",1.98,3.67,4
"169",169,"Louisiana","2.69%",1.98,3.66,4
"324",324,"Ohio","2.63%",1.98,3.48,4
"91",91,"Florida","2.60%",1.98,3.4,4
"188",188,"Maryland","2.69%",1.97,3.66,4
"140",140,"Indiana","2.68%",1.97,3.63,4
"363",363,"Pennsylvania","2.48%",1.97,3.12,4
"19",19,"Arizona","2.66%",1.96,3.62,4
"322",322,"Ohio","2.63%",1.96,3.53,4
"228",228,"Missouri","2.62%",1.96,3.48,4
"22",22,"Arkansas","2.60%",1.96,3.44,4
"320",320,"Ohio","2.60%",1.96,3.44,4
"323",323,"Ohio","2.56%",1.96,3.34,4
"384",384,"Tennessee","2.41%",1.96,2.96,3
"120",120,"Idaho","2.37%",1.96,2.88,3
"141",141,"Indiana","2.68%",1.95,3.68,4
"183",183,"Maryland","2.67%",1.95,3.64,4
"376",376,"South Carolina","2.66%",1.95,3.62,4
"196",196,"Massachusetts","2.58%",1.95,3.42,4
"330",330,"Ohio","2.54%",1.95,3.31,4
"174",174,"Maine","2.69%",1.94,3.73,4
"231",231,"Missouri","2.65%",1.94,3.61,4
"69",69,"Connecticut","2.63%",1.94,3.57,4
"418",418,"Utah","2.61%",1.94,3.49,4
"8",8,"Alabama","2.58%",1.94,3.42,4
"425",425,"Virginia","2.55%",1.94,3.36,4
"227",227,"Missouri","2.48%",1.94,3.17,5
"202",202,"Michigan","2.44%",1.94,3.07,4
"220",220,"Mississippi","2.63%",1.93,3.57,4
"137",137,"Indiana","2.58%",1.93,3.45,4
"364",364,"Pennsylvania","2.58%",1.93,3.45,4
"338",338,"Ohio","2.56%",1.93,3.39,4
"265",265,"New Jersey","2.55%",1.93,3.36,4
"109",109,"Georgia","2.55%",1.93,3.35,4
"230",230,"Missouri","2.49%",1.93,3.21,5
"235",235,"Montana","2.34%",1.93,2.84,3
"414",414,"Utah","2.65%",1.92,3.64,4
"391",391,"Tennessee","2.63%",1.92,3.6,4
"210",210,"Minnesota","2.37%",1.92,2.92,3
"392",392,"Texas","2.19%",1.92,2.49,3
"222",222,"Mississippi","2.69%",1.91,3.77,4
"305",305,"North Carolina","2.64%",1.91,3.64,4
"300",300,"North Carolina","2.63%",1.91,3.6,4
"440",440,"Washington","2.60%",1.91,3.53,5
"432",432,"Washington","2.60%",1.91,3.51,5
"218",218,"Mississippi","2.54%",1.91,3.36,4
"357",357,"Pennsylvania","2.47%",1.91,3.2,4
"263",263,"New Jersey","2.32%",1.91,2.81,3
"175",175,"Maine","2.65%",1.9,3.7,4
"352",352,"Oregon","2.61%",1.9,3.59,4
"9",9,"Alabama","2.56%",1.9,3.45,4
"361",361,"Pennsylvania","2.53%",1.9,3.37,4
"444",444,"West Virginia","2.55%",1.89,3.44,4
"239",239,"Montana","2.50%",1.89,3.3,4
"329",329,"Ohio","2.50%",1.89,3.3,4
"316",316,"North Dakota","2.48%",1.89,3.25,4
"279",279,"New York","2.47%",1.89,3.24,5
"132",132,"Illinois","2.46%",1.89,3.19,4
"306",306,"North Carolina","2.61%",1.88,3.61,4
"195",195,"Massachusetts","2.51%",1.88,3.34,4
"343",343,"Oklahoma","2.57%",1.87,3.54,4
"413",413,"Utah","2.56%",1.87,3.5,4
"208",208,"Michigan","2.42%",1.87,3.13,4
"156",156,"Kansas","2.58%",1.86,3.58,4
"10",10,"Alabama","2.54%",1.86,3.47,4
"223",223,"Mississippi","2.55%",1.86,3.47,4
"406",406,"Texas","2.41%",1.86,3.12,4
"44",44,"California","2.40%",1.86,3.09,4
"456",456,"Wyoming","2.27%",1.86,2.77,3
"314",314,"North Dakota","2.69%",1.85,3.89,4
"388",388,"Tennessee","2.58%",1.85,3.57,4
"445",445,"West Virginia","2.56%",1.85,3.54,4
"162",162,"Kentucky","2.55%",1.85,3.5,4
"122",122,"Idaho","2.50%",1.85,3.36,4
"242",242,"Nebraska","2.44%",1.85,3.21,5
"73",73,"Delaware","2.53%",1.84,3.47,4
"453",453,"Wisconsin","2.45%",1.84,3.26,4
"312",312,"North Dakota","2.51%",1.83,3.44,4
"359",359,"Pennsylvania","2.44%",1.83,3.25,4
"393",393,"Texas","2.39%",1.83,3.11,4
"339",339,"Oklahoma","2.31%",1.83,2.91,3
"214",214,"Minnesota","2.49%",1.82,3.39,4
"67",67,"Connecticut","2.44%",1.82,3.28,4
"247",247,"Nebraska","2.42%",1.82,3.2,4
"36",36,"California","2.36%",1.82,3.05,4
"133",133,"Illinois","2.35%",1.82,3.03,4
"403",403,"Texas","2.23%",1.82,2.73,4
"15",15,"Alaska","2.51%",1.81,3.48,4
"187",187,"Maryland","2.50%",1.81,3.43,4
"176",176,"Maine","2.47%",1.81,3.38,4
"455",455,"Wisconsin","2.43%",1.81,3.26,4
"127",127,"Idaho","2.42%",1.81,3.24,4
"319",319,"Ohio","2.38%",1.81,3.13,4
"240",240,"Montana","2.36%",1.81,3.08,4
"150",150,"Kansas","2.25%",1.81,2.8,3
"145",145,"Iowa","2.50%",1.8,3.44,4
"7",7,"Alabama","2.43%",1.8,3.27,4
"378",378,"South Dakota","2.23%",1.8,2.76,3
"270",270,"New Mexico","2.48%",1.79,3.43,4
"443",443,"West Virginia","2.48%",1.79,3.42,4
"63",63,"Colorado","2.46%",1.79,3.37,4
"161",161,"Kentucky","2.44%",1.79,3.32,4
"400",400,"Texas","2.19%",1.79,2.67,4
"395",395,"Texas","2.13%",1.79,2.55,4
"244",244,"Nebraska","2.50%",1.78,3.49,4
"224",224,"Mississippi","2.45%",1.78,3.36,4
"386",386,"Tennessee","2.41%",1.78,3.26,4
"389",389,"Tennessee","2.38%",1.78,3.16,4
"143",143,"Iowa","2.21%",1.78,2.74,3
"186",186,"Maryland","2.41%",1.77,3.26,4
"237",237,"Montana","2.40%",1.77,3.24,4
"327",327,"Ohio","2.38%",1.77,3.18,4
"39",39,"California","2.34%",1.77,3.08,4
"251",251,"Nevada","2.33%",1.77,3.08,5
"94",94,"Florida","2.33%",1.77,3.06,4
"401",401,"Texas","2.19%",1.77,2.71,5
"211",211,"Minnesota","2.48%",1.76,3.48,4
"454",454,"Wisconsin","2.34%",1.76,3.12,4
"126",126,"Idaho","2.41%",1.75,3.31,4
"457",457,"Wyoming","2.38%",1.75,3.22,4
"379",379,"South Dakota","2.36%",1.75,3.17,4
"463",463,"Wyoming","2.40%",1.74,3.31,4
"146",146,"Iowa","2.35%",1.74,3.17,4
"243",243,"Nebraska","2.37%",1.73,3.25,4
"158",158,"Kentucky","2.37%",1.73,3.24,4
"387",387,"Tennessee","2.36%",1.73,3.22,4
"451",451,"Wisconsin","2.36%",1.73,3.2,4
"404",404,"Texas","2.23%",1.73,2.87,5
"130",130,"Illinois","2.08%",1.73,2.51,4
"346",346,"Oklahoma","2.41%",1.72,3.36,4
"233",233,"Missouri","2.38%",1.72,3.27,4
"25",25,"Arkansas","2.36%",1.72,3.23,4
"232",232,"Missouri","2.36%",1.72,3.22,4
"152",152,"Kansas","2.32%",1.72,3.13,4
"407",407,"Texas","2.30%",1.72,3.07,4
"405",405,"Texas","2.24%",1.72,2.91,5
"212",212,"Minnesota","2.36%",1.71,3.24,4
"160",160,"Kentucky","2.34%",1.71,3.2,4
"382",382,"South Dakota","2.32%",1.71,3.16,4
"394",394,"Texas","2.30%",1.71,3.07,4
"207",207,"Michigan","2.20%",1.71,2.83,4
"397",397,"Texas","2.15%",1.7,2.73,5
"396",396,"Texas","2.12%",1.7,2.65,5
"344",344,"Oklahoma","2.34%",1.69,3.24,4
"340",340,"Oklahoma","2.33%",1.69,3.22,4
"462",462,"Wyoming","2.32%",1.69,3.19,4
"245",245,"Nebraska","2.29%",1.69,3.09,4
"123",123,"Idaho","2.27%",1.69,3.05,4
"107",107,"Florida","2.25%",1.69,2.98,4
"116",116,"Hawaii","2.38%",1.68,3.36,4
"154",154,"Kansas","2.36%",1.68,3.31,4
"253",253,"Nevada","2.34%",1.68,3.25,4
"264",264,"New Jersey","2.22%",1.67,2.95,4
"252",252,"Nevada","2.32%",1.65,3.25,4
"390",390,"Tennessee","2.29%",1.65,3.17,4
"452",452,"Wisconsin","2.27%",1.65,3.12,4
"234",234,"Missouri","2.26%",1.65,3.08,4
"229",229,"Missouri","2.25%",1.65,3.05,4
"399",399,"Texas","2.21%",1.65,2.97,4
"315",315,"North Dakota","2.29%",1.64,3.19,4
"236",236,"Montana","2.28%",1.64,3.17,4
"383",383,"South Dakota","2.22%",1.64,3,4
"97",97,"Florida","2.14%",1.63,2.82,4
"148",148,"Iowa","2.19%",1.62,2.95,4
"181",181,"Maine","2.17%",1.62,2.88,4
"358",358,"Pennsylvania","2.16%",1.62,2.87,4
"402",402,"Texas","2.16%",1.62,2.87,5
"342",342,"Oklahoma","2.22%",1.61,3.07,4
"246",246,"Nebraska","2.20%",1.61,3,4
"213",213,"Minnesota","2.18%",1.6,2.98,4
"151",151,"Kansas","2.11%",1.59,2.8,4
"408",408,"Texas","2.08%",1.59,2.72,4
"216",216,"Minnesota","2.11%",1.58,2.8,4
"23",23,"Arkansas","2.17%",1.57,3,4
"310",310,"North Dakota","2.12%",1.57,2.84,4
"238",238,"Montana","2.10%",1.57,2.8,4
"398",398,"Texas","2.08%",1.57,2.76,4
"92",92,"Florida","2.08%",1.57,2.74,4
"409",409,"Texas","1.96%",1.57,2.43,4
"153",153,"Kansas","2.14%",1.56,2.93,4
"178",178,"Maine","2.14%",1.56,2.92,4
"118",118,"Hawaii","2.17%",1.55,3.04,4
"119",119,"Hawaii","2.16%",1.55,3.01,4
"385",385,"Tennessee","2.16%",1.55,2.99,4
"121",121,"Idaho","2.11%",1.55,2.87,4
"125",125,"Idaho","2.11%",1.55,2.86,4
"311",311,"North Dakota","2.16%",1.54,3.03,4
"155",155,"Kansas","2.11%",1.54,2.89,4
"149",149,"Iowa","2.11%",1.54,2.88,4
"464",464,"Wyoming","2.09%",1.54,2.82,4
"201",201,"Michigan","2.07%",1.54,2.78,4
"147",147,"Iowa","2.14%",1.53,2.98,4
"461",461,"Wyoming","2.09%",1.53,2.85,4
"381",381,"South Dakota","2.08%",1.53,2.83,4
"459",459,"Wyoming","2.08%",1.53,2.82,4
"266",266,"New Jersey","2.01%",1.52,2.67,4
"345",345,"Oklahoma","2.11%",1.51,2.96,4
"460",460,"Wyoming","2.09%",1.51,2.88,4
"410",410,"Texas","1.97%",1.51,2.58,5
"426",426,"Virginia","1.99%",1.5,2.63,4
"104",104,"Florida","1.93%",1.5,2.47,4
"380",380,"South Dakota","2.12%",1.49,3,4
"341",341,"Oklahoma","2.11%",1.48,2.99,4
"144",144,"Iowa","2.00%",1.47,2.73,4
"465",465,"Wyoming","2.03%",1.46,2.81,4
"411",411,"Texas","1.93%",1.46,2.53,5
