"","Order","State","Small..Area.Estimate","rate_lower","rate_upper","Map.Group"
"331",331,"Ohio","3.87%",3.04,4.92,4
"371",371,"Rhode Island","3.80%",2.98,4.83,4
"142",142,"Indiana","3.99%",2.97,5.35,4
"72",72,"Delaware","3.73%",2.97,4.68,4
"82",82,"District of Columbia","4.11%",2.94,5.7,4
"184",184,"Maryland","3.97%",2.88,5.45,4
"75",75,"District of Columbia","3.54%",2.88,4.36,3
"368",368,"Rhode Island","3.48%",2.84,4.27,3
"193",193,"Massachusetts","3.71%",2.79,4.93,4
"70",70,"Delaware","3.37%",2.79,4.07,3
"206",206,"Michigan","3.50%",2.75,4.43,4
"74",74,"Delaware","3.83%",2.71,5.4,4
"5",5,"West","2.89%",2.68,3.1,2
"80",80,"District of Columbia","3.66%",2.67,4.99,4
"295",295,"North Carolina","3.62%",2.66,4.9,4
"350",350,"Oregon","3.45%",2.65,4.47,4
"33",33,"California","3.44%",2.65,4.46,4
"420",420,"Vermont","3.33%",2.64,4.18,4
"102",102,"Florida","3.46%",2.63,4.53,4
"277",277,"New York","3.29%",2.63,4.11,5
"275",275,"New York","3.07%",2.62,3.58,4
"278",278,"New York","3.46%",2.61,4.58,5
"2",2,"Northeast","2.81%",2.61,3.02,2
"100",100,"Florida","3.17%",2.6,3.84,5
"274",274,"New York","2.95%",2.6,3.34,3
"1",1,"Total United States","2.70%",2.6,2.8,1
"337",337,"Ohio","3.39%",2.59,4.44,4
"30",30,"California","2.89%",2.59,3.23,3
"60",60,"Colorado","3.24%",2.58,4.07,4
"58",58,"Colorado","3.11%",2.58,3.75,3
"355",355,"Pennsylvania","3.29%",2.56,4.21,4
"77",77,"District of Columbia","3.56%",2.55,4.95,4
"76",76,"District of Columbia","3.54%",2.55,4.88,4
"294",294,"North Carolina","3.08%",2.55,3.71,3
"284",284,"New York","2.99%",2.55,3.5,4
"307",307,"North Carolina","3.49%",2.54,4.77,4
"12",12,"Alaska","3.24%",2.54,4.13,4
"347",347,"Oregon","3.10%",2.54,3.77,3
"99",99,"Florida","3.31%",2.53,4.3,4
"11",11,"Alaska","3.06%",2.53,3.7,3
"317",317,"Ohio","2.87%",2.53,3.24,3
"419",419,"Vermont","3.05%",2.52,3.68,3
"334",334,"Ohio","3.26%",2.51,4.21,4
"16",16,"Arizona","3.03%",2.51,3.66,3
"354",354,"Pennsylvania","2.84%",2.51,3.2,3
"271",271,"New Mexico","3.30%",2.49,4.38,4
"52",52,"California","3.25%",2.49,4.23,4
"304",304,"North Carolina","3.39%",2.48,4.62,4
"17",17,"Arizona","3.11%",2.48,3.89,4
"134",134,"Indiana","2.98%",2.48,3.58,3
"268",268,"New Mexico","3.02%",2.47,3.71,3
"56",56,"California","3.17%",2.45,4.09,4
"4",4,"South","2.59%",2.45,2.74,2
"348",348,"Oregon","3.34%",2.44,4.56,4
"46",46,"California","3.20%",2.44,4.19,4
"3",3,"Midwest","2.58%",2.44,2.74,2
"108",108,"Georgia","2.93%",2.43,3.54,3
"41",41,"California","2.78%",2.43,3.19,5
"55",55,"California","3.06%",2.42,3.86,4
"290",290,"New York","2.96%",2.42,3.62,4
"71",71,"Delaware","3.21%",2.41,4.25,4
"54",54,"California","3.16%",2.41,4.13,4
